STT,Ten_Doanh_Nghiep,COST_X1,COL_X2,SPE_X3,REP_X4,STA_X5,REL_X6,DIG_X7,CUS_X8,RSK_X9,ESG_X10,NET_X11,Y_DEC_Choice
1,Công ty Xây dựng An Phong,4.33,3.67,4.67,4.67,4.33,4.00,4.67,4.33,4.00,3.67,4.33,4.50
2,Công ty CP Đầu tư Nam Long,4.67,3.67,4.33,5.00,4.67,4.33,4.33,4.67,4.33,4.00,4.67,4.75
3,Công ty Thương mại Minh Phát,3.67,3.67,4.00,3.67,3.67,3.67,3.67,3.67,3.33,3.33,3.67,3.75
4,Tập đoàn Xây lắp Hòa Bình,4.67,4.67,5.00,5.00,5.00,4.67,5.00,4.67,4.67,4.33,5.00,5.00
5,Công ty Cơ điện MEIKO,3.67,3.33,3.67,4.00,4.00,3.67,4.00,3.67,3.67,3.67,3.67,3.75
6,Công ty Bất động sản Thịnh Vượng,2.67,2.67,3.00,3.00,3.00,2.67,2.67,3.00,2.67,2.67,3.00,2.75
7,Công ty XNK Nông sản Dũng Phát,4.33,4.00,4.67,4.33,4.33,4.00,4.33,4.00,4.00,3.67,4.33,4.25
8,Công ty Kỹ thuật Số 1,5.00,4.33,4.67,5.00,4.67,4.33,5.00,4.67,4.33,4.00,4.67,4.75
9,Công ty Vận tải Biển Đông,3.33,3.33,3.67,3.67,3.67,3.33,3.33,3.67,3.33,3.00,3.67,3.50
10,Công ty Hạ tầng DTL,4.00,4.00,4.33,4.33,4.00,4.00,4.33,4.00,4.00,3.67,4.00,4.25
